full_title,society_name,rent,area_sqft,furnishing,apartment_type,preferred_tenants,link
3 BHK Apartment In Alstonia Apartments for Rent  In Sector Pi-1,Alstonia Apartments,9000,1600,Fully Furnished,3 BHK,Bachelor,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-pi-1-greater_noida-for-rs-9000/8a9f91e29bbf9bbc019bc0608a3920ef/detail
1 BHK Flat In Supertech Eco 1 for Rent  In Sector 1,,22000,550,Fully Furnished,1 BHK,Bachelor,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-sector-1-noida-for-rs-22000/8aa9ab849ac04300019ac0536252057f/detail
"3 BHK Flat In  Gaur City 4th Avenue for Rent  In Noida Extension, Noida",,9000,1185,Fully Furnished,3 BHK,Bachelor,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-noida-extension-noida-noida-for-rs-9000/8a9f88839aaace3f019aaadc6b76015b/detail
1 RK Flat for Rent  In Sector Alpha Ii,,10000,454,Fully Furnished,1 RK,Bachelor,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-sector-alpha-ii-greater_noida-for-rs-10000/8a9f92839067f56c019068517c812972/detail
1 BHK Flat for Rent  In Delta Ii,,15000,270,Fully Furnished,1 BHK,Bachelor,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-delta-ii-greater_noida-for-rs-15000/8a9f82829ba1c865019ba25fa3641d55/detail
1 BHK Flat for Rent  In Delta I,,12000,712,Fully Furnished,1 BHK,Bachelor,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-delta-i-greater_noida-for-rs-12000/8a9f83438f486d1b018f48bc06452ddd/detail
2 BHK Flat In Aarcity for Rent  In Sector 16c,,26000,1400,Fully Furnished,2 BHK,Bachelor,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16c-greater_noida-for-rs-26000/8aa9aebf9bbf9b59019bc089ab794b3f/detail
2 BHK Flat for Rent  In Sector Alpha Ii,,16000,550,Fully Furnished,2 BHK,Bachelor,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-alpha-ii-greater_noida-for-rs-16000/8a9f8a629067f41b0190685169b129d0/detail
3 BHK Apartment In Avj Heights for Rent  In Zeta I,AVJ Heights,30000,1400,Fully Furnished,3 BHK,Bachelor,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-zeta-i-greater_noida-for-rs-30000/8a9f8503909b06f701909b4db0b319fc/detail
3 BHK Apartment In Proview Technocity Apartments for Rent  In Chi V,Proview Technocity Apartments,32000,1492,Fully Furnished,3 BHK,Bachelor,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-chi-v-greater_noida-for-rs-32000/8a9fb98596e8a3aa0196e8aaedea01e0/detail
1 RK Flat In Standalone Building  for Rent  In Greater Noida West,,14000,600,Fully Furnished,1 RK,Bachelor,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-greater-noida-west-noida-for-rs-14000/8a9f85889820a407019820f5f811156b/detail
