full_title,society_name,rent,area_sqft,apartment_type,preferred_tenants,link,Locality
2 BHK Apartment In Gulshan Bellina for Rent  In Noida Ext Sector 16,Gulshan Bellina,22000,1020,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-noida-ext-sector-16-greater_noida-for-rs-22000/8a9f8e838f32f80d018f331024aa0de8/detail,Sector 16
2 BHK Apartment In Narmada Enclave (eta 2) for Rent  In Eta Ii,Narmada Enclave &#40;Eta 2&#41;,15000,1200,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-eta-ii-greater_noida-for-rs-15000/8a9f84879735f11b0197360465bb0671/detail,eta
2 BHK Apartment In Nirala Aspire for Rent  In Sector 16,Nirala Aspire,22000,1400,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16-greater_noida-for-rs-22000/8a9fa78396669c780196670ae1ae2c9d/detail,Sector 16
3 BHK Apartment In Ajnara Le Garden for Rent  In Greater Noida,Ajnara Le Garden,20000,1295,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-greater-noida-noida-for-rs-20000/8a9ff2888aff3644018aff6c926020e2/detail,Greater Noida
1 RK Apartment In Stellar Mi Citihomes for Rent  In Omicron Iii,Stellar Mi Citihomes,15000,540,1,All,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-omicron-iii-greater_noida-for-rs-15000/8a9f850392c4355f0192c49cfe930f5a/detail,Omicron Iii
3 BHK Apartment In Purvanchal Royal City  for Rent  In Chi V,Purvanchal Royal City,25000,1735,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-chi-v-greater_noida-for-rs-25000/8a9fdc82848bd5bd01848be6417b047a/detail,Chi V
2 BHK Apartment In Ace City for Rent  In Ace City Noida Extension,ACE city,30000,1150,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-ace-city-noida-extension-greater_noida-for-rs-30000/8a9ff78286ebce800186ebe8e9810315/detail,Noida Extension
"1 RK Apartment In Paramount Golf Foreste, Surajpur for Rent  In Surajpur","Paramount Golf Foreste, Surajpur",14000,450,1,All,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-surajpur-greater_noida-for-rs-14000/8a9f91c29c1ee267019c1f501eca14c0/detail,Surajpur
2 BHK Apartment In La Residentia   for Rent  In Tech Zone Iv,La Residentia,20000,1010,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-tech-zone-iv-greater_noida-for-rs-20000/8a9f05828774027e0187744065bd3038/detail,Tech Zone Iv
3 BHK Apartment In Eldeco Mystic Greens Greater Noida for Rent  In Omicron I,Eldeco Mystic Greens Greater Noida,22000,1731,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-omicron-i-noida-for-rs-22000/8a9f8eb86f6fb0c0016f6fc5682f045f/detail,Omicron I
2 BHK Apartment In Amrapali Tropical Garden for Rent  In Tech Zone Iv,Amrapali Tropical Garden,20000,990,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-tech-zone-iv-greater_noida-for-rs-20000/8aa9a0329c1d606f019c1d92cc7b1448/detail,Tech Zone Iv
"3 BHK Apartment In Vihan Greens for Rent  In Sector 1,",Vihan Greens,25000,1600,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1--greater_noida-for-rs-25000/8a9faf8797a1ae990197a217a53c29d4/detail,Sector 1
3 BHK Apartment In Sanskriti Apartment for Rent  In Sector 1,Sanskriti apartment,22000,1610,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-22000/ff8081816e840a57016e8424dd821145/detail,Sector 1
3 BHK Apartment In Coco County for Rent  In Sector10,Coco County,20000,1152,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector10-noida-for-rs-20000/8a9f88838d318650018d32bf87f26f06/detail,Sector10
1 RK Apartment In Young Homes  for Rent  In Sector 16b,young homes,15000,396,1,All,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-sector-16b-greater_noida-for-rs-15000/8aa9b0e19c0cdae7019c0d3cbef51c05/detail,Sector 16b
"3 BHK Apartment In Icon Apartments for Rent  In  Chi Iii,",Icon Apartments,55000,1500,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in--chi-iii--greater_noida-for-rs-55000/8a9fa9827b915d5b017b9193ed4d1a7a/detail,Chi Iii
4 BHK Apartment In Presithum for Rent  In Sector 25,Presithum,22000,1850,4,All,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-sector-25-greater_noida-for-rs-22000/8a9fb9839661762a019661ab4491162a/detail,Sector 25
4 BHK Apartment In Greenwoods Phase Ii  for Rent  In Omega Iv,Greenwoods Phase II,25000,2400,4,All,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-omega-iv-greater_noida-for-rs-25000/8a9f8b8491dac6700191db11bd9d17f6/detail,Omega Iv
3 BHK Apartment In Coco County  for Rent  In Sector 10,Coco County,26000,1152,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-10-greater_noida-for-rs-26000/8a9f9083958e512401958e6e8d900b72/detail,Sector 10
"3 BHK Apartment In Amrapali Terrace Homes, Noida Extension, Greater Noida for Rent  In Noida Extension, Greater Noida","Amrapali Terrace Homes, Noida Extension, Greater Noida",25000,1400,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-noida-extension-greater-noida-greater_noida-for-rs-25000/8aa9b0319bf84115019bf8faf35646c4/detail,Noida Extension
1 RK Apartment In Kaveri City Centre for Rent  In Delta I,Kaveri City Centre,28000,214,1,All,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-delta-i-greater_noida-for-rs-28000/8aa9b1df9c03a0e5019c041e39e33312/detail,Delta I
"3 BHK Apartment In Gaur City 2, Noida Extention for Rent  In Sector 4","Gaur City 2, Noida Extention",25000,1475,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-4-noida-for-rs-25000/8a9fae849402a913019402c55ed70869/detail,Sector 4
2 BHK Apartment In Oasis Venetia Heights for Rent  In Surajpur,Oasis Venetia Heights,18000,995,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-surajpur-noida-for-rs-18000/8a9faa8897a57ea20197a58ae7440374/detail,Surajpur
